pow: 11, freq: 8, 1 freq. peaks: [4840000.], peaks prominence: [17266.20613396]
pow: 11, freq: 9, 1 freq. peaks: [4520000.], peaks prominence: [24077.24832159]
pow: 11, freq: 10, 1 freq. peaks: [4160000.], peaks prominence: [11696.261999]
pow: 11, freq: 11, 1 freq. peaks: [3730000.], peaks prominence: [17345.07743174]
pow: 11, freq: 12, 1 freq. peaks: [3190000.], peaks prominence: [10927.34654795]
pow: 11, freq: 13, 1 freq. peaks: [3480000.], peaks prominence: [4733.78571748]
pow: 11, freq: 14, 1 freq. peaks: [4390000.], peaks prominence: [110.06332277]
pow: 11, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [83.47139063]
pow: 11, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [68.97527331]
pow: 11, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [77.44183756]
pow: 12, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [73.24709909]
pow: 12, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [42.25653787]
pow: 12, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [74.78516484]
pow: 12, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [79.45586011]
pow: 12, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [70.99000535]
pow: 12, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [80.08883579]
pow: 12, freq: 7, 1 freq. peaks: [4980000.], peaks prominence: [13965.64207205]
pow: 12, freq: 8, 1 freq. peaks: [4700000.], peaks prominence: [16415.50998893]
pow: 12, freq: 9, 1 freq. peaks: [4390000.], peaks prominence: [19917.10504124]
pow: 12, freq: 10, 1 freq. peaks: [4030000.], peaks prominence: [9026.85899182]
pow: 12, freq: 11, 1 freq. peaks: [3610000.], peaks prominence: [18142.83003761]
pow: 12, freq: 12, 1 freq. peaks: [3080000.], peaks prominence: [12109.26606245]
pow: 12, freq: 13, 1 freq. peaks: [3510000.], peaks prominence: [4510.05395773]
pow: 12, freq: 14, 1 freq. peaks: [4340000.], peaks prominence: [109.49074733]
pow: 12, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [74.00540542]
pow: 12, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [72.684135]
pow: 12, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [38.99596618]
pow: 13, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [89.84037562]
pow: 13, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [38.60353341]
pow: 13, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [71.72258751]
pow: 13, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [78.84711189]
pow: 13, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [80.87745482]
pow: 13, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [73.48519308]
pow: 13, freq: 7, 1 freq. peaks: [4870000.], peaks prominence: [20526.00589039]
pow: 13, freq: 8, 1 freq. peaks: [4600000.], peaks prominence: [17608.7827589]
pow: 13, freq: 9, 1 freq. peaks: [4290000.], peaks prominence: [25285.80340378]
pow: 13, freq: 10, 1 freq. peaks: [3940000.], peaks prominence: [9729.98726793]
pow: 13, freq: 11, 1 freq. peaks: [7030000.], peaks prominence: [12252.3653062]
pow: 13, freq: 12, 1 freq. peaks: [2980000.], peaks prominence: [11999.55321167]
pow: 13, freq: 13, 1 freq. peaks: [3580000.], peaks prominence: [5147.59068226]
pow: 13, freq: 14, 1 freq. peaks: [4890000.], peaks prominence: [166.67977893]
pow: 13, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [79.04864006]
pow: 13, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [83.19304129]
pow: 13, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [41.70755903]
pow: 14, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [86.18327986]
