pow: 9, freq: 10, 1 freq. peaks: [4470000.], peaks prominence: [1439.56497348]
pow: 9, freq: 11, 1 freq. peaks: [4030000.], peaks prominence: [1687.8804724]
pow: 9, freq: 12, 1 freq. peaks: [3460000.], peaks prominence: [1466.95336661]
pow: 9, freq: 13, 1 freq. peaks: [3460000.], peaks prominence: [467.03413268]
pow: 9, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [3.93308961]
pow: 9, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [4.3482767]
pow: 9, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [4.50256332]
pow: 9, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.66820992]
pow: 10, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [7.51661115]
pow: 10, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [7.8587206]
pow: 10, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [7.96419248]
pow: 10, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [5.51909974]
pow: 10, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [6.95052596]
pow: 10, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [8.87478878]
pow: 10, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [9.45577678]
pow: 10, freq: 8, 1 freq. peaks: [4970000.], peaks prominence: [2444.58163893]
pow: 10, freq: 9, 1 freq. peaks: [4650000.], peaks prominence: [1710.34120478]
pow: 10, freq: 10, 1 freq. peaks: [4300000.], peaks prominence: [1748.99294757]
pow: 10, freq: 11, 1 freq. peaks: [3870000.], peaks prominence: [1410.86035346]
pow: 10, freq: 12, 1 freq. peaks: [3290000.], peaks prominence: [1417.01417268]
pow: 10, freq: 13, 1 freq. peaks: [3430000.], peaks prominence: [456.53669571]
pow: 10, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [4.52293896]
pow: 10, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [4.82072569]
pow: 10, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [8.4579657]
pow: 10, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [7.452064]
pow: 11, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [8.17146355]
pow: 11, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [7.00803993]
pow: 11, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [5.17657311]
pow: 11, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [9.18660311]
pow: 11, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [7.10189495]
pow: 11, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [7.31823111]
pow: 11, freq: 7, 1 freq. peaks: [5090000.], peaks prominence: [1829.67577493]
